Advisory,Impact,CVE,Last Updated,Version
"Cisco NX-OS Software External Border Gateway Protocol Denial of Service Vulnerability
High
CVE-2024-20321
2024 Feb 28 1.0",High,CVE-2024-20321,2024 Feb 28,1.0
"Cisco NX-OS Software MPLS Encapsulated IPv6 Denial of Service Vulnerability
High
CVE-2024-20267
2024 Feb 28 1.0",High,CVE-2024-20267,2024 Feb 28,1.0
"Cisco UCS 6400 and 6500 Series Fabric Interconnects Intersight Managed Mode Denial of Service Vulnerability
Medium
CVE-2024-20344
2024 Feb 28 1.0",Medium,CVE-2024-20344,2024 Feb 28,1.0
"Cisco Nexus 3000 and 9000 Series Switches Port Channel ACL Programming Vulnerability
Medium
CVE-2024-20291
2024 Feb 28 1.0",Medium,CVE-2024-20291,2024 Feb 28,1.0
"Cisco FXOS and NX-OS Software Link Layer Discovery Protocol Denial of Service Vulnerability
Medium
CVE-2024-20294
2024 Feb 28 1.0",Medium,CVE-2024-20294,2024 Feb 28,1.0
"Cisco Integrated Management Controller Cross-Site Scripting Vulnerability
Medium
CVE-2023-20228
2024 Feb 22 1.4",Medium,CVE-2023-20228,2024 Feb 22,1.4
"Cisco Adaptive Security Appliance Software and Firepower Threat Defense Software Web Services Information Disclosure Vulnerability
High
CVE-2020-3259
2024 Feb 21 1.5",High,CVE-2020-3259,2024 Feb 21,1.5
"Cisco Unified Intelligence Center Insufficient Access Control Vulnerability
Medium
CVE-2024-20325
2024 Feb 21 1.0",Medium,CVE-2024-20325,2024 Feb 21,1.0
"ClamAV OLE2 File Format Parsing Denial of Service Vulnerability
High
CVE-2024-20290
2024 Feb 13 1.1",High,CVE-2024-20290,2024 Feb 13,1.1
"Cisco Expressway Series Cross-Site Request Forgery Vulnerabilities
Critical
CVE-2024-20252
CVE-2024-20254 ...
2024 Feb 12 1.1",Critical,"CVE-2024-20252
CVE-2024-20254 ...",2024 Feb 12,1.1
"Multiple Cisco Products Snort 3 Access Control Policy Bypass Vulnerability
Medium
CVE-2023-20246
2024 Feb 06 1.1",Medium,CVE-2023-20246,2024 Feb 06,1.1
"Cisco Unity Connection Unauthenticated Arbitrary File Upload Vulnerability
Critical
CVE-2024-20272
2024 Feb 05 1.3",Critical,CVE-2024-20272,2024 Feb 05,1.3
"Cisco Unified Communications Products Remote Code Execution Vulnerability
Critical
CVE-2024-20253
2024 Jan 30 1.3",Critical,CVE-2024-20253,2024 Jan 30,1.3
"Cisco Small Business Series Switches Stacked Reload ACL Bypass Vulnerability
Medium
CVE-2024-20263
2024 Jan 24 1.0",Medium,CVE-2024-20263,2024 Jan 24,1.0
"Cisco Unity Connection Cross-Site Scripting Vulnerability
Medium
CVE-2024-20305
2024 Jan 24 1.0",Medium,CVE-2024-20305,2024 Jan 24,1.0
"Cisco SD-WAN Solution Improper Access Control Vulnerability
High
CVE-2022-20716
2024 Jan 23 1.1",High,CVE-2022-20716,2024 Jan 23,1.1
"Cisco SD-WAN Software Arbitrary File Corruption Vulnerability
Medium
CVE-2022-20930
2024 Jan 23 1.1",Medium,CVE-2022-20930,2024 Jan 23,1.1
"Cisco BroadWorks Application Delivery Platform and Xtended Services Platform Stored Cross-Site Scripting Vulnerability
Medium
CVE-2024-20270
2024 Jan 23 1.1",Medium,CVE-2024-20270,2024 Jan 23,1.1
"Cisco TelePresence Management Suite Cross-Site Scripting Vulnerabilities
Medium
CVE-2023-20248
CVE-2023-20249
2024 Jan 12 1.2",Medium,"CVE-2023-20248
CVE-2023-20249",2024 Jan 12,1.2
"Cisco ThousandEyes Enterprise Agent Virtual Appliance Privilege Escalation Vulnerability
Medium
CVE-2024-20277
2024 Jan 10 1.0",Medium,CVE-2024-20277,2024 Jan 10,1.0
"Cisco WAP371 Wireless Access Point Command Injection Vulnerability
Medium
CVE-2024-20287
2024 Jan 10 1.0",Medium,CVE-2024-20287,2024 Jan 10,1.0
"Cisco Evolved Programmable Network Manager and Cisco Prime Infrastructure Vulnerabilities
Medium
CVE-2023-20257
CVE-2023-20258 ...
2024 Jan 10 1.0",Medium,"CVE-2023-20257
CVE-2023-20258 ...",2024 Jan 10,1.0
"Cisco Identity Services Engine Stored Cross-Site Scripting Vulnerability
Medium
CVE-2024-20251
2024 Jan 10 1.0",Medium,CVE-2024-20251,2024 Jan 10,1.0
"Cisco Identity Services Engine Privilege Escalation Vulnerabilities
Medium
CVE-2023-20193
CVE-2023-20194
2024 Jan 08 1.2",Medium,"CVE-2023-20193
CVE-2023-20194",2024 Jan 08,1.2
"Apache Struts Vulnerability Affecting Cisco Products: December 2023
Critical
CVE-2023-50164
2023 Dec 21 1.6",Critical,CVE-2023-50164,2023 Dec 21,1.6
"HTTP/2 Rapid Reset Attack Affecting Cisco Products: October 2023
High
CVE-2023-44487
2023 Dec 21 1.11",High,CVE-2023-44487,2023 Dec 21,1.11
"Cisco Adaptive Security Appliance and Firepower Threat Defense Software VPN Packet Validation Vulnerability
Medium
CVE-2023-20275
2023 Dec 05 1.0",Medium,CVE-2023-20275,2023 Dec 05,1.0
"Cisco Firepower Threat Defense Software and Cisco FirePOWER Services ICMPv6 with Snort 2 Denial of Service Vulnerability
High
CVE-2023-20083
2023 Nov 16 1.1",High,CVE-2023-20083,2023 Nov 16,1.1
"Cisco IP Phone Stored Cross-Site Scripting Vulnerability
Medium
CVE-2023-20265
2023 Nov 15 1.0",Medium,CVE-2023-20265,2023 Nov 15,1.0
"Cisco Secure Endpoint for Windows Scanning Evasion Vulnerability
Medium
CVE-2023-20084
2023 Nov 15 1.0",Medium,CVE-2023-20084,2023 Nov 15,1.0
"Cisco Identity Services Engine Vulnerabilities
Medium
CVE-2023-20208
CVE-2023-20272
2023 Nov 15 1.0",Medium,"CVE-2023-20208
CVE-2023-20272",2023 Nov 15,1.0
"Cisco AppDynamics PHP Agent Privilege Escalation Vulnerability
Medium
CVE-2023-20274
2023 Nov 15 1.0",Medium,CVE-2023-20274,2023 Nov 15,1.0
"Cisco Secure Client Software Denial of Service Vulnerabilities
Medium
CVE-2023-20240
CVE-2023-20241
2023 Nov 15 1.0",Medium,"CVE-2023-20240
CVE-2023-20241",2023 Nov 15,1.0
"Cisco Adaptive Security Appliance Software and Firepower Threat Defense Software ICMPv6 Message Processing Denial of Service Vulnerability
High
CVE-2023-20086
2023 Nov 02 1.1",High,CVE-2023-20086,2023 Nov 02,1.1
"Cisco Adaptive Security Appliance Software and Firepower Threat Defense Software Remote Access VPN Denial of Service Vulnerability
High
CVE-2023-20095
2023 Nov 02 1.1",High,CVE-2023-20095,2023 Nov 02,1.1
"Cisco Firepower Management Center Software Command Injection Vulnerability
Critical
CVE-2023-20048
2023 Nov 01 1.0",Critical,CVE-2023-20048,2023 Nov 01,1.0
"Multiple Vulnerabilities in Cisco IOS XE Software Web UI Feature
Critical
CVE-2023-20198
CVE-2023-20273
2023 Nov 01 2.6",Critical,"CVE-2023-20198
CVE-2023-20273",2023 Nov 01,2.6
"Cisco Identity Services Engine Command Injection Vulnerabilities
High
CVE-2023-20170
CVE-2023-20175
2023 Nov 01 1.0",High,"CVE-2023-20170
CVE-2023-20175",2023 Nov 01,1.0
"Cisco Identity Services Engine Vulnerabilities
High
CVE-2023-20195
CVE-2023-20196 ...
2023 Nov 01 1.0",High,"CVE-2023-20195
CVE-2023-20196 ...",2023 Nov 01,1.0
"Cisco Firepower Threat Defense Software for Cisco Firepower 2100 Series Firewalls Inspection Rules Denial of Service Vulnerability
High
CVE-2023-20244
2023 Nov 01 1.0",High,CVE-2023-20244,2023 Nov 01,1.0
"Cisco Firepower Threat Defense Software and Firepower Management Center Software Code Injection Vulnerability
High
CVE-2023-20063
2023 Nov 01 1.0",High,CVE-2023-20063,2023 Nov 01,1.0
"Cisco Firepower Management Center Software Log API Denial of Service Vulnerability
High
CVE-2023-20155
2023 Nov 01 1.0",High,CVE-2023-20155,2023 Nov 01,1.0
"Cisco Firepower Management Center Software Command Injection Vulnerabilities
High
CVE-2023-20219
CVE-2023-20220
2023 Nov 01 1.0",High,"CVE-2023-20219
CVE-2023-20220",2023 Nov 01,1.0
"Cisco Adaptive Security Appliance and Firepower Threat Defense Software VPN Web Client Services Client-Side Request Smuggling Vulnerability
Medium
CVE-2022-20713
2023 Nov 01 3.0",Medium,CVE-2022-20713,2023 Nov 01,3.0
"Multiple Cisco Products Snort FTP Inspection Bypass Vulnerability
Medium
CVE-2023-20071
2023 Nov 01 1.0",Medium,CVE-2023-20071,2023 Nov 01,1.0
"Cisco Firepower Threat Defense Software SSL/TLS URL Category and Snort 3 Detection Engine Bypass and Denial of Service Vulnerability
Medium
CVE-2023-20177
2023 Nov 01 1.0",Medium,CVE-2023-20177,2023 Nov 01,1.0
"Cisco Firepower Threat Defense Software Snort 3 Geolocation IP Filter Bypass Vulnerability
Medium
CVE-2023-20267
2023 Nov 01 1.0",Medium,CVE-2023-20267,2023 Nov 01,1.0
"Cisco Firepower Threat Defense Software Snort 3 Detection Engine Denial of Service Vulnerability
Medium
CVE-2023-20070
2023 Nov 01 1.0",Medium,CVE-2023-20070,2023 Nov 01,1.0
"Cisco Firepower Threat Defense Software SSL and Snort 3 Detection Engine Bypass and Denial of Service Vulnerability
Medium
CVE-2023-20031
2023 Nov 01 1.0",Medium,CVE-2023-20031,2023 Nov 01,1.0
